param2,param1,min_dist,min_radius,max_radius,dp,circles,ellipses,raw_count,adjusted,out_file,elapsed_ms
15,50,25,10,70,1.2,2854,0,2854,2568.6,output__p1=50_p2=15_md=25_r=10-70_dp=1.2.jpg,6130.2
15,50,25,10,70,1.5,2814,0,2814,2532.6,output__p1=50_p2=15_md=25_r=10-70_dp=1.5.jpg,3914.5
15,50,40,10,70,1.0,1157,0,1157,1041.3,output__p1=50_p2=15_md=40_r=10-70_dp=1.0.jpg,8867.1
15,50,40,10,70,1.2,1139,0,1139,1025.1000000000001,output__p1=50_p2=15_md=40_r=10-70_dp=1.2.jpg,5624.5
15,50,40,10,70,1.5,1157,0,1157,1041.3,output__p1=50_p2=15_md=40_r=10-70_dp=1.5.jpg,4169.0
15,80,15,10,70,1.0,7653,0,7653,6887.7,output__p1=80_p2=15_md=15_r=10-70_dp=1.0.jpg,10797.4
15,80,15,10,70,1.2,7577,0,7577,6819.3,output__p1=80_p2=15_md=15_r=10-70_dp=1.2.jpg,8963.8
15,80,15,10,70,1.5,7636,0,7636,6872.400000000001,output__p1=80_p2=15_md=15_r=10-70_dp=1.5.jpg,4543.0
15,80,25,10,70,1.0,2870,0,2870,2583.0,output__p1=80_p2=15_md=25_r=10-70_dp=1.0.jpg,8465.4
15,80,25,10,70,1.2,2852,0,2852,2566.8,output__p1=80_p2=15_md=25_r=10-70_dp=1.2.jpg,7032.0
15,80,25,10,70,1.5,2805,0,2805,2524.5,output__p1=80_p2=15_md=25_r=10-70_dp=1.5.jpg,3920.9
15,80,40,10,70,1.0,1152,0,1152,1036.8,output__p1=80_p2=15_md=40_r=10-70_dp=1.0.jpg,8189.8
15,80,40,10,70,1.2,1146,0,1146,1031.4,output__p1=80_p2=15_md=40_r=10-70_dp=1.2.jpg,5093.1
15,80,40,10,70,1.5,1160,0,1160,1044.0,output__p1=80_p2=15_md=40_r=10-70_dp=1.5.jpg,3360.7
15,120,15,10,70,1.0,7565,0,7565,6808.5,output__p1=120_p2=15_md=15_r=10-70_dp=1.0.jpg,8588.8
15,120,15,10,70,1.2,7554,0,7554,6798.6,output__p1=120_p2=15_md=15_r=10-70_dp=1.2.jpg,7128.4
15,120,15,10,70,1.5,7604,0,7604,6843.6,output__p1=120_p2=15_md=15_r=10-70_dp=1.5.jpg,4161.9
15,120,25,10,70,1.0,2837,0,2837,2553.3,output__p1=120_p2=15_md=25_r=10-70_dp=1.0.jpg,7242.9
15,120,25,10,70,1.2,2842,0,2842,2557.8,output__p1=120_p2=15_md=25_r=10-70_dp=1.2.jpg,5634.3
15,120,25,10,70,1.5,2803,0,2803,2522.7000000000003,output__p1=120_p2=15_md=25_r=10-70_dp=1.5.jpg,3251.7
15,120,40,10,70,1.0,1160,0,1160,1044.0,output__p1=120_p2=15_md=40_r=10-70_dp=1.0.jpg,6821.6
15,120,40,10,70,1.2,1146,0,1146,1031.4,output__p1=120_p2=15_md=40_r=10-70_dp=1.2.jpg,4806.1
15,120,40,10,70,1.5,1155,0,1155,1039.5,output__p1=120_p2=15_md=40_r=10-70_dp=1.5.jpg,3246.4
25,50,15,10,70,1.0,6913,0,6913,6221.7,output__p1=50_p2=25_md=15_r=10-70_dp=1.0.jpg,5640.0
25,50,15,10,70,1.2,7367,0,7367,6630.3,output__p1=50_p2=25_md=15_r=10-70_dp=1.2.jpg,5936.3
25,50,15,10,70,1.5,7583,0,7583,6824.7,output__p1=50_p2=25_md=15_r=10-70_dp=1.5.jpg,4322.8
25,50,25,10,70,1.0,2688,0,2688,2419.2000000000003,output__p1=50_p2=25_md=25_r=10-70_dp=1.0.jpg,6629.8
25,50,25,10,70,1.2,2789,0,2789,2510.1,output__p1=50_p2=25_md=25_r=10-70_dp=1.2.jpg,6209.9
25,50,25,10,70,1.5,2803,0,2803,2522.7000000000003,output__p1=50_p2=25_md=25_r=10-70_dp=1.5.jpg,3817.0
25,50,40,10,70,1.0,1084,0,1084,975.6,output__p1=50_p2=25_md=40_r=10-70_dp=1.0.jpg,6387.9
25,50,40,10,70,1.2,1113,0,1113,1001.7,output__p1=50_p2=25_md=40_r=10-70_dp=1.2.jpg,6310.1
25,50,40,10,70,1.5,1149,0,1149,1034.1000000000001,output__p1=50_p2=25_md=40_r=10-70_dp=1.5.jpg,4276.1
25,80,15,10,70,1.0,6546,0,6546,5891.400000000001,output__p1=80_p2=25_md=15_r=10-70_dp=1.0.jpg,4884.8
25,80,15,10,70,1.2,7258,0,7258,6532.2,output__p1=80_p2=25_md=15_r=10-70_dp=1.2.jpg,6919.7
25,80,15,10,70,1.5,7548,0,7548,6793.2,output__p1=80_p2=25_md=15_r=10-70_dp=1.5.jpg,4462.0
25,80,25,10,70,1.0,2576,0,2576,2318.4,output__p1=80_p2=25_md=25_r=10-70_dp=1.0.jpg,4074.4
25,80,25,10,70,1.2,2764,0,2764,2487.6,output__p1=80_p2=25_md=25_r=10-70_dp=1.2.jpg,4825.0
25,80,25,10,70,1.5,2784,0,2784,2505.6,output__p1=80_p2=25_md=25_r=10-70_dp=1.5.jpg,3995.6
25,80,40,10,70,1.0,1076,0,1076,968.4,output__p1=80_p2=25_md=40_r=10-70_dp=1.0.jpg,4704.6
25,80,40,10,70,1.2,1115,0,1115,1003.5,output__p1=80_p2=25_md=40_r=10-70_dp=1.2.jpg,5668.1
25,80,40,10,70,1.5,1154,0,1154,1038.6000000000001,output__p1=80_p2=25_md=40_r=10-70_dp=1.5.jpg,3645.8
25,120,15,10,70,1.0,5690,0,5690,5121.0,output__p1=120_p2=25_md=15_r=10-70_dp=1.0.jpg,2910.8
25,120,15,10,70,1.2,7033,0,7033,6329.7,output__p1=120_p2=25_md=15_r=10-70_dp=1.2.jpg,5098.8
25,120,15,10,70,1.5,7471,0,7471,6723.900000000001,output__p1=120_p2=25_md=15_r=10-70_dp=1.5.jpg,4084.0
25,120,25,10,70,1.0,2340,0,2340,2106.0,output__p1=120_p2=25_md=25_r=10-70_dp=1.0.jpg,2841.3
25,120,25,10,70,1.2,2676,0,2676,2408.4,output__p1=120_p2=25_md=25_r=10-70_dp=1.2.jpg,4471.6
25,120,25,10,70,1.5,2760,0,2760,2484.0,output__p1=120_p2=25_md=25_r=10-70_dp=1.5.jpg,3361.0
25,120,40,10,70,1.0,1008,0,1008,907.2,output__p1=120_p2=25_md=40_r=10-70_dp=1.0.jpg,2769.6
25,120,40,10,70,1.2,1107,0,1107,996.3000000000001,output__p1=120_p2=25_md=40_r=10-70_dp=1.2.jpg,4344.1
25,120,40,10,70,1.5,1134,0,1134,1020.6,output__p1=120_p2=25_md=40_r=10-70_dp=1.5.jpg,3482.5
35,50,15,10,70,1.0,3612,0,3612,3250.8,output__p1=50_p2=35_md=15_r=10-70_dp=1.0.jpg,1101.8
35,50,15,10,70,1.2,6534,0,6534,5880.6,output__p1=50_p2=35_md=15_r=10-70_dp=1.2.jpg,4342.7
35,50,15,10,70,1.5,7340,0,7340,6606.0,output__p1=50_p2=35_md=15_r=10-70_dp=1.5.jpg,3912.8
35,50,25,10,70,1.0,1750,0,1750,1575.0,output__p1=50_p2=35_md=25_r=10-70_dp=1.0.jpg,995.4
35,50,25,10,70,1.2,2563,0,2563,2306.7000000000003,output__p1=50_p2=35_md=25_r=10-70_dp=1.2.jpg,4191.6
35,50,25,10,70,1.5,2727,0,2727,2454.3,output__p1=50_p2=35_md=25_r=10-70_dp=1.5.jpg,3690.1
35,50,40,10,70,1.0,809,0,809,728.1,output__p1=50_p2=35_md=40_r=10-70_dp=1.0.jpg,1226.6
35,50,40,10,70,1.2,1047,0,1047,942.3000000000001,output__p1=50_p2=35_md=40_r=10-70_dp=1.2.jpg,4261.7
35,50,40,10,70,1.5,1126,0,1126,1013.4,output__p1=50_p2=35_md=40_r=10-70_dp=1.5.jpg,3967.3
35,80,15,10,70,1.0,2690,0,2690,2421.0,output__p1=80_p2=35_md=15_r=10-70_dp=1.0.jpg,727.9
35,80,15,10,70,1.2,6081,0,6081,5472.900000000001,output__p1=80_p2=35_md=15_r=10-70_dp=1.2.jpg,3485.9
35,80,15,10,70,1.5,7205,0,7205,6484.5,output__p1=80_p2=35_md=15_r=10-70_dp=1.5.jpg,3750.5
35,80,25,10,70,1.0,1418,0,1418,1276.2,output__p1=80_p2=35_md=25_r=10-70_dp=1.0.jpg,626.0
35,80,25,10,70,1.2,2439,0,2439,2195.1,output__p1=80_p2=35_md=25_r=10-70_dp=1.2.jpg,2923.7
35,80,25,10,70,1.5,2678,0,2678,2410.2000000000003,output__p1=80_p2=35_md=25_r=10-70_dp=1.5.jpg,3308.4
35,80,40,10,70,1.0,709,0,709,638.1,output__p1=80_p2=35_md=40_r=10-70_dp=1.0.jpg,613.2
35,80,40,10,70,1.2,1025,0,1025,922.5,output__p1=80_p2=35_md=40_r=10-70_dp=1.2.jpg,3246.1
35,80,40,10,70,1.5,1122,0,1122,1009.8000000000001,output__p1=80_p2=35_md=40_r=10-70_dp=1.5.jpg,3476.7
35,120,15,10,70,1.0,1566,0,1566,1409.4,output__p1=120_p2=35_md=15_r=10-70_dp=1.0.jpg,315.5
35,120,15,10,70,1.2,5144,0,5144,4629.6,output__p1=120_p2=35_md=15_r=10-70_dp=1.2.jpg,2069.0
35,120,15,10,70,1.5,6948,0,6948,6253.2,output__p1=120_p2=35_md=15_r=10-70_dp=1.5.jpg,3379.5
35,120,25,10,70,1.0,921,0,921,828.9,output__p1=120_p2=35_md=25_r=10-70_dp=1.0.jpg,318.3
35,120,25,10,70,1.2,2209,0,2209,1988.1000000000001,output__p1=120_p2=35_md=25_r=10-70_dp=1.2.jpg,2132.8
35,120,25,10,70,1.5,2609,0,2609,2348.1,output__p1=120_p2=35_md=25_r=10-70_dp=1.5.jpg,3436.2
35,120,40,10,70,1.0,528,0,528,475.2,output__p1=120_p2=35_md=40_r=10-70_dp=1.0.jpg,327.8
35,120,40,10,70,1.2,956,0,956,860.4,output__p1=120_p2=35_md=40_r=10-70_dp=1.2.jpg,2037.1
35,120,40,10,70,1.5,1072,0,1072,964.8000000000001,output__p1=120_p2=35_md=40_r=10-70_dp=1.5.jpg,3168.5
50,50,15,10,70,1.0,80,0,80,72.0,output__p1=50_p2=50_md=15_r=10-70_dp=1.0.jpg,135.4
50,50,15,10,70,1.2,2598,0,2598,2338.2000000000003,output__p1=50_p2=50_md=15_r=10-70_dp=1.2.jpg,781.0
50,50,15,10,70,1.5,6411,0,6411,5769.900000000001,output__p1=50_p2=50_md=15_r=10-70_dp=1.5.jpg,3297.6
50,50,25,10,70,1.0,72,0,72,64.8,output__p1=50_p2=50_md=25_r=10-70_dp=1.0.jpg,116.6
50,50,25,10,70,1.2,1387,0,1387,1248.3,output__p1=50_p2=50_md=25_r=10-70_dp=1.2.jpg,805.7
50,50,25,10,70,1.5,2470,0,2470,2223.0,output__p1=50_p2=50_md=25_r=10-70_dp=1.5.jpg,4225.4
50,50,40,10,70,1.0,68,0,68,61.2,output__p1=50_p2=50_md=40_r=10-70_dp=1.0.jpg,150.0
50,50,40,10,70,1.2,698,0,698,628.2,output__p1=50_p2=50_md=40_r=10-70_dp=1.2.jpg,727.0
50,50,40,10,70,1.5,1028,0,1028,925.2,output__p1=50_p2=50_md=40_r=10-70_dp=1.5.jpg,3998.2
50,80,15,10,70,1.0,37,0,37,33.300000000000004,output__p1=80_p2=50_md=15_r=10-70_dp=1.0.jpg,128.5
50,80,15,10,70,1.2,1779,0,1779,1601.1000000000001,output__p1=80_p2=50_md=15_r=10-70_dp=1.2.jpg,467.7
50,80,15,10,70,1.5,5943,0,5943,5348.7,output__p1=80_p2=50_md=15_r=10-70_dp=1.5.jpg,3065.3
50,80,25,10,70,1.0,34,0,34,30.6,output__p1=80_p2=50_md=25_r=10-70_dp=1.0.jpg,108.5
50,80,25,10,70,1.2,1059,0,1059,953.1,output__p1=80_p2=50_md=25_r=10-70_dp=1.2.jpg,556.4
50,80,25,10,70,1.5,2355,0,2355,2119.5,output__p1=80_p2=50_md=25_r=10-70_dp=1.5.jpg,2694.8
50,80,40,10,70,1.0,34,0,34,30.6,output__p1=80_p2=50_md=40_r=10-70_dp=1.0.jpg,111.2
50,80,40,10,70,1.2,563,0,563,506.7,output__p1=80_p2=50_md=40_r=10-70_dp=1.2.jpg,461.3
50,80,40,10,70,1.5,1007,0,1007,906.3000000000001,output__p1=80_p2=50_md=40_r=10-70_dp=1.5.jpg,2524.5
50,120,15,10,70,1.0,11,0,11,9.9,output__p1=120_p2=50_md=15_r=10-70_dp=1.0.jpg,184.0
50,120,15,10,70,1.2,926,0,926,833.4,output__p1=120_p2=50_md=15_r=10-70_dp=1.2.jpg,227.2
50,120,15,10,70,1.5,5043,0,5043,4538.7,output__p1=120_p2=50_md=15_r=10-70_dp=1.5.jpg,1783.0
50,120,25,10,70,1.0,11,0,11,9.9,output__p1=120_p2=50_md=25_r=10-70_dp=1.0.jpg,121.9
50,120,25,10,70,1.2,619,0,619,557.1,output__p1=120_p2=50_md=25_r=10-70_dp=1.2.jpg,228.7
50,120,25,10,70,1.5,2093,0,2093,1883.7,output__p1=120_p2=50_md=25_r=10-70_dp=1.5.jpg,1684.5
